station_id,name,so_h,cglo,tb10,rrm,rf,ffx,ff,tb20,tl,rr
3810,Langenlois,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3811,Langenlois,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4026,Stockerau Flugplatz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4030,Stockerau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4070,Korneuburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4071,Korneuburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4080,Langenlebarn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4081,Langenlebarn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4102,Wien Kahlenberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4115,Wien Stammersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4125,Wolkersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4126,Wolkersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4153,Deutsch-Wagram,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4170,Schleinbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4200,Groß-Schweinbarth,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4210,Matzen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4220,Obersiebenbrunn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4221,Gänserndorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4224,Gänserndorf Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4305,Zwerndorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4500,Ranshofen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4501,Ranshofen Braunau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4515,Ostermiething,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4600,Aspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
